0,1,2,3,4,5,6,7,8,9,10,11
1,Toyota Land Cruiser Prado 250 Series,12 049 000 ₽,2024,Новый,2.4 л,279,Бензин,автомат,внедорожник 5 дв.,полный,VX
2,Toyota RAV4 I (XA10),250 000 ₽,1995,300 000 км,2.0 л,135,Бензин,автомат,внедорожник 5 дв.,полный,серый
3,Toyota bB II Рестайлинг,12 049 000 ₽,2009,134 000 км,1.3 л,92,Бензин,автомат,компактвэн,передний,белый
4,Toyota Ractis II,900 000 ₽,2015,120 000 км,1.5 л,103,Бензин,вариатор,хэтчбек 5 дв.,полный,белый
5,Toyota Esquire I,1 900 000 ₽,2015,67 422 км,1.8 л,99,Гибрид,вариатор,минивэн,передний,белый
6,Toyota Prius Alpha I (ZVW40/41) Рестайлинг,1 900 000 ₽,2018,95 550 км,1.8 л,99,Гибрид,автомат,универсал 5 дв.,передний,белый
7,Toyota Crown Kluger,6 799 000 ₽,2024,Новый,2.0 л,248,Бензин,автомат,внедорожник 5 дв.,полный,Enjoy
8,Toyota Highlander III (U50),2 600 000 ₽,2014,174 000 км,3.5 л,249,Бензин,автомат,внедорожник 5 дв.,полный,серебристый
9,Toyota Premio I (T24),680 000 ₽,2003,100 000 км,1.8 л,132,Бензин,автомат,седан,передний,серый
10,Toyota Vista V (V50),12 049 000 ₽,2000,220 000 км,1.8 л,130,Бензин,автомат,седан,передний,серый
11,Toyota Venza I Рестайлинг,12 049 000 ₽,2014,280 000 км,2.7 л,185,Бензин,автомат,внедорожник 5 дв.,полный,белый
12,Toyota Camry IX (XV80) China Market,4 299 000 ₽,2024,Новый,2.0 л,173,Бензин,вариатор,седан,передний,Sport
13,Toyota Allion II,12 049 000 ₽,2010,162 000 км,1.5 л,109,Бензин,вариатор,седан,передний,белый
14,Toyota Venza I Рестайлинг,2 625 000 ₽,2014,130 000 км,2.7 л,185,Бензин,автомат,внедорожник 5 дв.,полный,белый
15,Toyota ISis I,869 999 ₽,2006,365 000 км,1.8 л,132,Бензин,автомат,компактвэн,передний,белый
16,Toyota Camry V (XV30) Рестайлинг,12 049 000 ₽,2004,350 000 км,2.4 л,159,Бензин,автомат,седан,передний,серый
17,Toyota Highlander II (U40),2 000 000 ₽,2009,168 870 км,2.7 л,189,Бензин,автомат,внедорожник 5 дв.,передний,серебристый
18,Toyota Harrier II (XU30),12 049 000 ₽,2007,92 000 км,2.4 л,160,Бензин,автомат,внедорожник 5 дв.,полный,чёрный
19,Toyota Ractis II,1 149 000 ₽,2013,52 000 км,1.5 л,109,Бензин,вариатор,хэтчбек 5 дв.,передний,синий
20,Toyota Avensis II Рестайлинг,735 000 ₽,2007,100 000 км,1.8 л,129,Бензин,автомат,седан,передний,серебристый
21,Toyota Land Cruiser 200 Series,2 550 000 ₽,2011,293 316 км,4.5 л,235,Дизель,автомат,внедорожник 5 дв.,полный,золотистый
22,Toyota Highlander II (U40) Рестайлинг,1 637 000 ₽,2011,221 000 км,3.5 л,273,Бензин,автомат,внедорожник 5 дв.,полный,красный
23,Toyota Ractis I,12 049 000 ₽,2006,342 000 км,1.5 л,110,Бензин,вариатор,хэтчбек 5 дв.,передний,чёрный
24,Toyota Ractis II,1 050 000 ₽,2011,111 500 км,1.5 л,109,Бензин,вариатор,хэтчбек 5 дв.,передний,серый
25,Toyota Camry IX (XV80) China Market,4 699 000 ₽,2024,Новый,2.0 л,173,Бензин,вариатор,седан,передний,Sport
26,Toyota Land Cruiser Prado 250 Series,12 699 000 ₽,2024,Новый,2.4 л,279,Бензин,автомат,внедорожник 5 дв.,полный,VX-L
27,Toyota Land Cruiser Prado 4-speed 120 Series,2 100 000 ₽,2005,312 300 км,4.0 л,249,Бензин,автомат,внедорожник 5 дв.,полный,чёрный
28,Toyota Premio I (T24),12 049 000 ₽,2002,363 475 км,1.8 л,132,Бензин,автомат,седан,передний,серый
29,Toyota RAV4 II (XA20),12 049 000 ₽,2002,314 000 км,2.0 л,150,Бензин,автомат,внедорожник 5 дв.,полный,серебристый
30,Toyota Land Cruiser Prado 250 Series,10 500 000 ₽,2024,50 км,2.4 л,279,Бензин,автомат,внедорожник 5 дв.,полный,белый
31,Toyota Highlander I (U20) Рестайлинг,1 190 000 ₽,2004,10 000 км,2.4 л,157,Бензин,автомат,внедорожник 5 дв.,передний,чёрный
32,Toyota Voxy III (R80) Рестайлинг,2 590 000 ₽,2018,44 000 км,2.0 л,152,Бензин,вариатор,минивэн,полный,белый
33,Toyota Izoa I Рестайлинг,3 399 000 ₽,2023,Новый,2.0 л,171,Бензин,вариатор,внедорожник 5 дв.,передний,Индивидуальная
34,Toyota Prius Alpha I (ZVW40/41) Рестайлинг,1 700 000 ₽,2017,91 050 км,1.8 л,99,Гибрид,автомат,универсал 5 дв.,передний,серебристый
35,Toyota Highlander II (U40),2 050 000 ₽,2008,172 000 км,3.3 л,212,Гибрид,вариатор,внедорожник 5 дв.,полный,белый
